Place,Accommodation Name,Category,Price,Facilities,Rating,Distance
Aluthgama,Hotel Villa Aluthgama,Resort,72,"Wi-Fi, Pool, Garden",4.7,0.7
Hatton,Hotel Palace Hatton,Hotel,151,"Garden, Spa, Wi-Fi",4.5,4.9
Horana,Heritage Hotel Horana,Guesthouse,110,"Wi-Fi, Garden",3.6,2.1
Vavuniya,Hotel Inn Vavuniya,Guesthouse,217,"Wi-Fi, Gym, Garden",4.8,3.5
Puttalam,Hotel Retreat Puttalam,Resort,149,"Garden, Restaurant, Pool, Wi-Fi",3.6,0.4
Kadugannawa,The Grand Retreat Kadugannawa,Guesthouse,245,"Restaurant, Spa",4.7,4.5
Rakwana,The Grand House Rakwana,Hotel,239,"Restaurant, Gym, Spa, Wi-Fi",4.8,0.8
Nawalapitiya,Resort Villa Nawalapitiya,Guesthouse,57,"Spa, Wi-Fi",3.8,1.6
Badulla,Villa Retreat Badulla,Resort,279,"Restaurant, Garden",3.9,1.3
Mullaitivu,Palace Villa Mullaitivu,Hotel,62,"Pool, Wi-Fi",3.8,2.4
Kithulgala,Palace Villa Kithulgala,Guesthouse,91,"Pool, Garden, Wi-Fi",3.8,3
Hatton,Resort Retreat Hatton,Hotel,191,"Wi-Fi, Spa",3.9,0.9
Kithulgala,Hotel Retreat Kithulgala,Guesthouse,170,"Gym, Pool",4.6,0.3
Talalla,View Resort Talalla,Hotel,206,"Gym, Pool, Garden",4,2
Pinnawala,Resort Palace Pinnawala,Resort,86,"Restaurant, Garden, Gym",4,2.3
Yala National Park,Retreat Palace Yala,Resort,106,"Pool, Garden",3.9,2.8
Colombo,View House Colombo,Resort,83,"Restaurant, Pool, Gym",4.4,3.2
Ginigathhena,Hotel Palace Ginigathhena,Hotel,184,"Spa, Gym",4.2,1.4
Ambalantota,Villa Inn Ambalantota,Guesthouse,148,"Spa, Garden, Gym",4.8,3.9
Katunayake,Villa Palace Katunayake,Guesthouse,203,"Restaurant, Garden",4.7,1.4
Weligama,Palace Palace Weligama,Hotel,214,"Gym, Spa, Garden, Wi-Fi",4.4,0.9
Wilpattu,The Grand Villa Wilpattu,Resort,122,"Pool, Spa",3.8,3.2
Pelmadulla,Hotel Palace Pelmadulla,Hotel,218,"Restaurant, Pool, Garden",4.9,4.8
Jaffna,The Grand Palace Jaffna,Guesthouse,184,"Restaurant, Pool",3.9,0.6
Kataragama,Resort Resort Kataragama,Resort,260,"Restaurant, Pool",3.7,4.7
Wilpattu,Villa Resort Wilpattu,Hotel,242,"Pool, Wi-Fi, Garden",4.9,1.3
Knuckles Range,The Grand Palace Knuckles Range,Guesthouse,293,"Wi-Fi, Spa, Garden",4.7,2.7
Koggala,Hotel Inn Koggala,Hotel,152,"Garden, Pool, Restaurant, Gym",4.4,2.7
Rakwana,View Inn Rakwana,Guesthouse,61,"Garden, Wi-Fi, Pool, Restaurant",5,4.9
Kalpitiya,Retreat Inn Kalpitiya,Guesthouse,212,"Restaurant, Spa, Garden, Gym",4.3,4.6
Horana,View House Horana,Guesthouse,50,"Garden, Gym",4,2.9
Kelaniya,Heritage Palace Kelaniya,Hotel,220,"Gym, Spa, Garden, Restaurant",4.8,0.2
Vavuniya,View Palace Vavuniya,Guesthouse,98,"Restaurant, Garden",3.6,1.4
Seeduwa,Hotel Hotel Seeduwa,Guesthouse,280,"Pool, Restaurant",4.1,4
Talalla,Retreat House Talalla,Hotel,171,"Restaurant, Garden, Pool",3.9,1.2
Dambulla,Heritage Villa Dambulla,Guesthouse,262,"Pool, Spa, Wi-Fi",4.1,2.2
Nuwara Eliya,Heritage Villa Nuwara Eliya,Hotel,276,"Restaurant, Spa, Gym, Garden",3.7,1.9
Kalutara,Hotel Hotel Kalutara,Resort,138,"Garden, Wi-Fi",3.8,4.4
Gampaha,Lodge Palace Gampaha,Guesthouse,120,"Pool, Garden, Wi-Fi",3.9,3.1
Wilpattu,Palace House Wilpattu,Resort,284,"Wi-Fi, Spa, Restaurant, Gym",4.5,2.2
Yala National Park,View House Yala,Guesthouse,88,"Garden, Gym, Wi-Fi",3.8,3.1
Wattala,Heritage Inn Wattala,Guesthouse,74,"Spa, Garden, Gym",4.5,1.9
Jaffna,Villa Villa Jaffna,Guesthouse,54,"Garden, Spa, Wi-Fi, Gym",4,0.9
Jaffna,Hotel Inn Jaffna,Resort,65,"Garden, Gym, Wi-Fi, Spa",5,1.3
Wattala,The Grand Palace Wattala,Hotel,285,"Wi-Fi, Gym, Restaurant, Spa",4.9,3.4
Batticaloa,Villa Retreat Batticaloa,Guesthouse,112,"Wi-Fi, Spa, Gym",4.7,2.5
Nuwara Eliya,Retreat Retreat Nuwara Eliya,Resort,178,"Spa, Garden",3.7,3.1
Hatton,Palace House Hatton,Guesthouse,283,"Wi-Fi, Gym",4.4,2.1
Mirissa,Hotel House Mirissa,Guesthouse,289,"Restaurant, Pool, Spa, Wi-Fi",4.3,1.9
Denagama,The Grand Resort Denagama,Resort,50,"Restaurant, Gym, Garden, Wi-Fi",4.6,3
Chilaw,The Grand Resort Chilaw,Guesthouse,141,"Garden, Gym",3.7,2
Gampola,Retreat Palace Gampola,Hotel,77,"Garden, Gym, Spa, Restaurant",4.2,2.3
Pinnawala,Retreat Palace Pinnawala,Guesthouse,164,"Pool, Garden, Gym",5,3.5
Polonnaruwa,Villa House Polonnaruwa,Guesthouse,209,"Wi-Fi, Garden, Spa, Pool",3.7,4.7
Gampola,The Grand House Gampola,Hotel,260,"Wi-Fi, Garden, Restaurant",4.6,0.4
Pelmadulla,Villa Inn Pelmadulla,Hotel,219,"Restaurant, Spa, Pool",5,0.1
Minuwangoda,Lodge Palace Minuwangoda,Guesthouse,162,"Garden, Pool, Gym",3.5,2.3
Batticaloa,Lodge Villa Batticaloa,Resort,296,"Spa, Restaurant",4.3,1.4
Colombo,Villa Villa Colombo,Guesthouse,208,"Pool, Wi-Fi",3.7,2.1
Beruwala,Resort Inn Beruwala,Hotel,176,"Spa, Restaurant, Garden, Pool",4.5,2.1
Wattegama,Villa Palace Wattegama,Resort,162,"Restaurant, Wi-Fi, Spa, Pool",3.9,0.7
Kataragama,Palace Palace Kataragama,Hotel,67,"Restaurant, Gym, Spa",3.7,4.5
Denagama,Palace Hotel Denagama,Resort,208,"Restaurant, Gym",4.7,2.7
Beliatta,Retreat Palace Beliatta,Guesthouse,170,"Restaurant, Spa, Pool, Garden",3.6,1.2
Kandy,Retreat Retreat Kandy,Resort,59,"Spa, Restaurant, Pool, Wi-Fi",4.1,3.9
Katunayake,Villa House Katunayake,Hotel,239,"Gym, Restaurant, Pool, Garden",4.9,0.6
Pinnawala,The Grand Inn Pinnawala,Hotel,111,"Wi-Fi, Restaurant, Pool, Garden",4.6,4
Kadugannawa,Palace House Kadugannawa,Hotel,179,"Wi-Fi, Spa, Pool",3.7,0.3
Ginigathhena,Heritage Hotel Ginigathhena,Hotel,268,"Garden, Wi-Fi, Spa",4.5,1.3
Embilipitiya,Palace House Embilipitiya,Hotel,113,"Spa, Wi-Fi",5,4.4
Katunayake,View Resort Katunayake,Hotel,125,"Wi-Fi, Restaurant, Spa",4.5,2.3
Udawalawe,Retreat Hotel Udawalawe,Hotel,266,"Gym, Spa, Restaurant, Pool",4.4,4.1
Yala National Park,View Hotel Yala,Guesthouse,231,"Pool, Restaurant, Spa, Gym",3.6,4.1
Wattala,Palace Resort Wattala,Guesthouse,261,"Wi-Fi, Pool",4.6,3.3
Minuwangoda,Retreat Resort Minuwangoda,Guesthouse,151,"Restaurant, Garden",4.6,1.5
Piliyandala,The Grand Retreat Piliyandala,Hotel,136,"Garden, Restaurant",3.5,0.1
Kalpitiya,Hotel Retreat Kalpitiya,Hotel,180,"Restaurant, Wi-Fi, Gym",4.4,0.8
Tangalle,View Retreat Tangalle,Guesthouse,89,"Restaurant, Garden, Pool",4.8,4.4
Warakapola,Villa House Warakapola,Guesthouse,279,"Wi-Fi, Restaurant, Pool",3.6,3.5
Knuckles Range,Retreat Villa Knuckles Range,Resort,72,"Gym, Garden, Wi-Fi, Restaurant",4,4.3
Kandy,Resort Villa Kandy,Hotel,100,"Garden, Spa",4.6,3.4
Ginigathhena,Resort Retreat Ginigathhena,Hotel,75,"Gym, Garden, Wi-Fi",4.6,2.9
Ginigathhena,Heritage Villa Ginigathhena,Hotel,151,"Restaurant, Spa, Pool",4.8,0.8
Talalla,Lodge Retreat Talalla,Resort,175,"Restaurant, Garden, Wi-Fi",4.4,4.8
Katunayake,View Retreat Katunayake,Guesthouse,277,"Restaurant, Gym, Spa",4.4,3.3
Negombo,The Grand Retreat Negombo,Hotel,133,"Gym, Wi-Fi, Garden",4,3
Deniyaya,View Hotel Deniyaya,Hotel,88,"Gym, Pool",4,1.9
Denagama,Palace Resort Denagama,Hotel,252,"Pool, Restaurant, Gym, Wi-Fi",3.8,1.6
Negombo,Hotel Inn Negombo,Hotel,80,"Spa, Restaurant",4.1,2.9
Anuradhapura,Hotel Retreat Anuradhapura,Guesthouse,236,"Restaurant, Spa, Pool, Garden",4.1,2.8
Maskeliya,Heritage Inn Maskeliya,Resort,52,"Garden, Gym, Wi-Fi",3.7,0.9
Horton Plains,Heritage Resort Horton Plains,Guesthouse,50,"Garden, Wi-Fi",4,4.3
Kataragama,View Palace Kataragama,Guesthouse,223,"Gym, Wi-Fi",4.4,4.1
Minuwangoda,Resort House Minuwangoda,Guesthouse,76,"Gym, Wi-Fi, Restaurant, Spa",3.7,0.6
Kurunegala,Retreat Resort Kurunegala,Resort,128,"Garden, Spa, Restaurant, Pool",5,4.7
Talalla,Lodge Hotel Talalla,Guesthouse,199,"Gym, Garden, Restaurant, Pool",3.5,3.6
Nawalapitiya,The Grand Hotel Nawalapitiya,Guesthouse,59,"Gym, Pool, Spa",4.1,0.3
Dambulla,Resort Palace Dambulla,Guesthouse,252,"Restaurant, Wi-Fi, Garden, Spa",5,2.6
Tangalle,Hotel Villa Tangalle,Hotel,253,"Spa, Pool",3.7,2.3
Koggala,View Hotel Koggala,Hotel,300,"Restaurant, Pool, Wi-Fi",4,2.6
Galle,The Grand Resort Galle,Hotel,218,"Restaurant, Gym, Garden",4.8,1.1
Negombo,Heritage House Negombo,Hotel,171,"Garden, Restaurant",4.9,0.9
Vavuniya,Resort Hotel Vavuniya,Hotel,157,"Wi-Fi, Gym",4.7,2.6
Matale,Villa Hotel Matale,Resort,251,"Gym, Spa",4.4,4
Unawatuna,Palace Hotel Unawatuna,Guesthouse,238,"Spa, Pool, Restaurant",4.8,1.3
Sigiriya,Villa House Sigiriya,Hotel,86,"Gym, Spa",4.7,4.5
Mount Lavinia,Palace Villa Mount Lavinia,Resort,229,"Spa, Garden, Restaurant, Wi-Fi",4.6,2.1
Katunayake,Hotel Inn Katunayake,Guesthouse,206,"Garden, Wi-Fi",4.9,4.6
Hatton,Heritage Resort Hatton,Hotel,136,"Pool, Garden",3.7,0.2
Rakwana,Hotel Palace Rakwana,Resort,267,"Restaurant, Spa, Garden",4.3,0.9
Wattegama,Hotel Hotel Wattegama,Guesthouse,284,"Wi-Fi, Gym",3.8,2.3
Kadugannawa,Heritage House Kadugannawa,Hotel,148,"Gym, Garden",3.6,1.6
Katunayake,Palace House Katunayake,Guesthouse,297,"Spa, Gym, Restaurant",4.4,0.3
Ginigathhena,View Resort Ginigathhena,Hotel,256,"Garden, Pool, Wi-Fi, Gym",4.5,3.4
Nawalapitiya,Palace Palace Nawalapitiya,Hotel,159,"Restaurant, Spa",4.3,4.9
Polonnaruwa,Hotel Palace Polonnaruwa,Guesthouse,83,"Restaurant, Pool",3.7,3.4
Tangalle,The Grand Hotel Tangalle,Resort,197,"Restaurant, Garden, Wi-Fi, Pool",4.7,3.2
Mount Lavinia,Hotel Villa Mount Lavinia,Guesthouse,132,"Restaurant, Wi-Fi, Spa, Garden",4.6,0.2
Polonnaruwa,Heritage Villa Polonnaruwa,Resort,144,"Pool, Wi-Fi, Spa",4.8,0.2
Kadugannawa,Palace Hotel Kadugannawa,Hotel,270,"Restaurant, Spa, Garden",3.8,1.9
Ella Rock,The Grand House Ella,Resort,86,"Gym, Wi-Fi",4.9,4.3
Horton Plains,Retreat Palace Horton Plains,Hotel,144,"Spa, Wi-Fi, Garden",4.1,3.5
Polonnaruwa,View Retreat Polonnaruwa,Hotel,176,"Gym, Spa, Garden, Wi-Fi",4.3,3
Sigiriya,Villa Hotel Sigiriya,Guesthouse,264,"Gym, Pool, Restaurant, Spa",4,1.1
Pinnawala,Hotel Hotel Pinnawala,Guesthouse,255,"Gym, Pool, Restaurant",4.7,0.1
Sigiriya,Villa Hotel Sigiriya,Guesthouse,148,"Gym, Pool, Garden, Spa",4.1,3.7
Beruwala,Palace Inn Beruwala,Resort,56,"Spa, Gym",3.8,2.8
Sigiriya,Resort Palace Sigiriya,Guesthouse,105,"Spa, Gym",4.7,1
Jaffna,Heritage House Jaffna,Hotel,274,"Wi-Fi, Pool, Restaurant, Gym",4.8,2.4
Mirigama,Hotel Hotel Mirigama,Hotel,240,"Restaurant, Spa, Wi-Fi, Gym",3.8,0.1
Colombo,The Grand Resort Colombo,Hotel,78,"Pool, Gym, Garden, Restaurant",4.6,0.2
Beliatta,Palace House Beliatta,Hotel,188,"Restaurant, Gym, Wi-Fi, Pool",4.7,2.8
Horton Plains,The Grand House Horton Plains,Resort,160,"Restaurant, Wi-Fi",4.9,1.7
Galle,View Palace Galle,Guesthouse,169,"Gym, Pool, Wi-Fi",4.6,1.8
Embilipitiya,View Inn Embilipitiya,Hotel,180,"Gym, Restaurant, Pool",3.6,2
Katunayake,Villa Inn Katunayake,Guesthouse,290,"Garden, Wi-Fi",4.1,1.1
Melsiripura,View Resort Melsiripura,Hotel,181,"Wi-Fi, Restaurant, Pool",5,2.3
Habarana,Heritage Palace Habarana,Resort,299,"Wi-Fi, Spa",3.8,3
Denagama,View Resort Denagama,Hotel,134,"Spa, Garden, Pool, Wi-Fi",4,4.4
Kandy,The Grand Inn Kandy,Hotel,258,"Garden, Wi-Fi, Gym",4.9,2.3
Pelmadulla,The Grand House Pelmadulla,Hotel,97,"Wi-Fi, Spa, Gym, Pool",4.2,1.2
Ambalantota,Hotel Palace Ambalantota,Resort,91,"Garden, Restaurant, Wi-Fi",4.9,4.3
Koggala,Palace Palace Koggala,Resort,155,"Pool, Gym, Restaurant",3.5,4.3
Colombo,Villa Hotel Colombo,Hotel,285,"Pool, Restaurant",4.9,3.1
Yala National Park,Heritage Palace Yala,Guesthouse,287,"Spa, Wi-Fi, Restaurant",3.8,0.2
Ambalantota,Retreat Resort Ambalantota,Hotel,299,"Garden, Gym, Wi-Fi",4.2,2.2
Bentota,The Grand Hotel Bentota,Hotel,235,"Wi-Fi, Restaurant, Pool, Garden",4.4,2.2
Melsiripura,Villa Resort Melsiripura,Resort,137,"Spa, Wi-Fi, Gym",4,0.9
Deniyaya,Heritage Retreat Deniyaya,Resort,168,"Garden, Gym, Restaurant, Pool",4,2.7
Matale,Hotel Palace Matale,Guesthouse,97,"Garden, Gym, Restaurant",3.9,1.2
Gampola,View Inn Gampola,Guesthouse,136,"Garden, Restaurant, Spa, Wi-Fi",4.6,3.1
Nuwara Eliya,The Grand House Nuwara Eliya,Hotel,127,"Wi-Fi, Restaurant, Spa, Gym",3.7,0.7
Vavuniya,Lodge Villa Vavuniya,Guesthouse,93,"Restaurant, Wi-Fi, Spa",4.4,3.2
Pelmadulla,The Grand Hotel Pelmadulla,Guesthouse,239,"Spa, Restaurant, Wi-Fi, Gym",3.6,5
Polonnaruwa,View Villa Polonnaruwa,Guesthouse,222,"Garden, Restaurant, Wi-Fi, Gym",3.6,1.7
Deniyaya,The Grand House Deniyaya,Resort,230,"Wi-Fi, Gym, Pool",4.8,2.9
Galewela,Hotel House Galewela,Resort,61,"Pool, Restaurant, Spa, Garden",4.2,3
Colombo,Palace Inn Colombo,Hotel,281,"Garden, Wi-Fi",4.6,0.6
Puttalam,Lodge Hotel Puttalam,Hotel,70,"Spa, Pool, Restaurant, Gym",4.1,2.5
Ambalantota,View Villa Ambalantota,Resort,80,"Gym, Spa, Garden",4.3,4.6
Nuwara Eliya,View House Nuwara Eliya,Guesthouse,85,"Wi-Fi, Garden",5,5
Kadugannawa,Heritage Palace Kadugannawa,Hotel,214,"Gym, Pool",3.9,3.9
Dickoya,The Grand Resort Dickoya,Guesthouse,227,"Pool, Restaurant, Wi-Fi",4.3,3.6
Dehiwala,Retreat House Dehiwala,Resort,144,"Restaurant, Garden, Gym, Wi-Fi",4.3,2.2
Kelaniya,Palace Hotel Kelaniya,Resort,77,"Restaurant, Garden",4.5,4.9
Horana,Hotel Resort Horana,Hotel,258,"Gym, Spa, Wi-Fi",4.3,4.6
Warakapola,Heritage Villa Warakapola,Guesthouse,205,"Garden, Gym, Pool",3.6,2.1
Ambalantota,Lodge House Ambalantota,Resort,256,"Wi-Fi, Pool, Gym",4.9,3.6
Kitulgala,Villa Hotel Kitulgala,Hotel,102,"Restaurant, Spa, Gym, Wi-Fi",4.6,0.5
Minuwangoda,Resort Palace Minuwangoda,Resort,227,"Wi-Fi, Restaurant, Garden",4.1,4.7
Udawalawe,Villa Villa Udawalawe,Hotel,203,"Gym, Spa, Restaurant",4.7,4.9
Melsiripura,Resort Villa Melsiripura,Hotel,147,"Wi-Fi, Restaurant, Pool, Spa",4.3,1.2
Hatton,Resort Villa Hatton,Guesthouse,273,"Pool, Gym, Garden, Wi-Fi",4.3,2.1
Kelaniya,View Inn Kelaniya,Resort,282,"Pool, Wi-Fi, Garden, Restaurant",3.6,3.8
Gampola,Resort Retreat Gampola,Hotel,238,"Wi-Fi, Spa, Gym",4.2,4.8
Unawatuna,Retreat Villa Unawatuna,Hotel,52,"Spa, Garden, Gym, Pool",3.9,4.7
Katunayake,Palace Resort Katunayake,Guesthouse,228,"Garden, Spa, Pool",4.2,3.3
Talalla,View House Talalla,Resort,151,"Garden, Gym",4.7,3
Beliatta,Heritage House Beliatta,Guesthouse,295,"Restaurant, Pool, Gym, Spa",4.5,3.2
Tangalle,Retreat Resort Tangalle,Guesthouse,170,"Pool, Wi-Fi",4.6,4
Deniyaya,Retreat Retreat Deniyaya,Hotel,126,"Gym, Spa, Restaurant",5,3.1
Ella Rock,The Grand Retreat Ella,Guesthouse,230,"Garden, Wi-Fi, Restaurant",3.9,3
Haputale,Heritage House Haputale,Resort,83,"Spa, Restaurant, Pool, Gym",3.6,0.4
Gampola,View Palace Gampola,Resort,238,"Wi-Fi, Garden",4.2,3.2
Matale,View Inn Matale,Resort,128,"Spa, Restaurant, Gym",3.8,2.5
Horton Plains,The Grand Palace Horton Plains,Resort,279,"Pool, Restaurant, Garden, Spa",3.7,3.1
Matale,Resort Inn Matale,Guesthouse,203,"Restaurant, Gym, Pool, Garden",3.6,4.5
Mirissa,View House Mirissa,Guesthouse,58,"Pool, Spa, Wi-Fi, Gym",4.8,4.4
Tissamaharama,Retreat Palace Tissamaharama,Guesthouse,92,"Spa, Wi-Fi, Garden",3.5,2.2
Bentota,Hotel Palace Bentota,Resort,256,"Gym, Spa, Restaurant, Wi-Fi",5,0.7
Batticaloa,View Hotel Batticaloa,Hotel,181,"Spa, Wi-Fi, Garden",4.5,3.8
Pinnawala,Retreat Resort Pinnawala,Resort,202,"Restaurant, Wi-Fi",3.8,0.6
Galewela,Lodge Palace Galewela,Guesthouse,63,"Restaurant, Gym, Spa, Pool",4.8,0.9
Dehiwala,Retreat Inn Dehiwala,Hotel,255,"Spa, Pool",3.6,3.8
Vavuniya,Heritage Inn Vavuniya,Resort,79,"Restaurant, Gym, Pool, Garden",4.7,0.6
Meegama,The Grand Resort Meegama,Resort,156,"Spa, Garden",4.9,1
Talalla,The Grand Inn Talalla,Guesthouse,194,"Spa, Pool, Garden",4.9,1.5
Ingiriya,Hotel Palace Ingiriya,Guesthouse,186,"Spa, Gym, Wi-Fi, Garden",4.5,4.7
Ginigathhena,Heritage House Ginigathhena,Resort,284,"Pool, Restaurant, Garden, Wi-Fi",4.6,2.9
Beruwala,Heritage Hotel Beruwala,Guesthouse,213,"Wi-Fi, Restaurant",4.8,1.7
Kurunegala,Lodge Inn Kurunegala,Guesthouse,191,"Restaurant, Spa",4.9,0.9
Badulla,Resort Resort Badulla,Resort,261,"Pool, Garden, Restaurant",4.7,3.7
Rakwana,Palace Retreat Rakwana,Resort,116,"Wi-Fi, Restaurant",4.4,4.5
Melsiripura,View Palace Melsiripura,Resort,110,"Garden, Wi-Fi",3.9,3
Dikwella,Heritage Villa Dikwella,Guesthouse,222,"Pool, Wi-Fi, Spa, Garden",4.6,0.7
Knuckles Range,Palace Villa Knuckles Range,Guesthouse,159,"Restaurant, Pool, Gym",4.2,1.6
Koggala,Heritage House Koggala,Hotel,284,"Spa, Gym, Wi-Fi",5,3.4
Kandy,Villa Palace Kandy,Hotel,202,"Gym, Spa",3.8,3.3
Colombo,Resort Villa Colombo,Resort,259,"Gym, Pool, Spa",3.8,3.9
Ratnapura,Palace Retreat Ratnapura,Guesthouse,158,"Wi-Fi, Garden, Restaurant, Gym",3.8,4.2
Polonnaruwa,Hotel Palace Polonnaruwa,Guesthouse,201,"Restaurant, Garden, Spa",4.3,1.4
Ingiriya,Lodge House Ingiriya,Hotel,225,"Gym, Pool",4.2,4.5
Knuckles Range,Lodge Villa Knuckles Range,Guesthouse,236,"Garden, Pool",3.8,4.4
Horana,Palace Inn Horana,Guesthouse,87,"Gym, Spa",4.3,1.1
Matale,Villa Inn Matale,Hotel,265,"Wi-Fi, Gym, Garden",3.9,1.2
Puttalam,Resort Resort Puttalam,Resort,139,"Gym, Wi-Fi, Spa, Restaurant",4.8,1.2
Koggala,Resort Hotel Koggala,Guesthouse,181,"Spa, Wi-Fi, Garden, Gym",4.6,0.6
Pelmadulla,Heritage Palace Pelmadulla,Resort,86,"Spa, Pool, Garden",4.6,1.4
Kalutara,Hotel Resort Kalutara,Hotel,246,"Restaurant, Garden, Wi-Fi, Spa",4.1,2.3
Yala National Park,Lodge Resort Yala,Resort,94,"Garden, Wi-Fi, Pool, Restaurant",3.6,2.9
Kelaniya,Villa Palace Kelaniya,Guesthouse,276,"Garden, Pool",4,3.8
Haputale,View Retreat Haputale,Guesthouse,96,"Garden, Pool, Gym",3.8,1.9
Yala,Cinnamon Wild Yala,Safari Lodge,300,"Pool, Restaurant, Wildlife Viewing",4.5,5
Yala,Elephant Reach,Safari Lodge,200,"Pool, Free WiFi, Restaurant",4.3,10
Udawalawe,Kulu Safari Lodge,Safari Lodge,180,"Nature Trails, Restaurant, Free WiFi",4.4,8
Wilpattu,The Rainforest Ecolodge,Eco-Lodge,220,"Restaurant, Wildlife Viewing, Pool",4.2,15
Minneriya,Minneriya Hotel,Hotel,120,"Restaurant, Free WiFi",4.1,3
Gal Oya,Gal Oya Lodge,Eco-Lodge,250,"Restaurant, Boat Safari, Wildlife Viewing",4.6,20
Adam's Peak,Peak Wilderness Resort,Mountain Lodge,80,"Restaurant, Free WiFi, Hiking Trails",4.5,1
Horton Plains,The Grand Hotel,Hotel,100,"Restaurant, Free WiFi, Hiking Trails",4.3,10
Knuckles Range,Knuckles Range Eco Resort,Eco Lodge,90,"Nature Trails, Restaurant, Wildlife Viewing",4.2,5
Diyaluma Falls,Diyaluma Eco Lodge,Eco Lodge,60,"Free WiFi, Restaurant, Nature Trails",4,3
Nuwara Eliya,Grand Tea Hotel,Hotel,120,"Restaurant, Spa, Free WiFi",4.4,15
Sinharaja Forest,Sinharaja Eco Lodge,Eco Lodge,150,"Wildlife Viewing, Nature Trails, Restaurant",4.6,12
Unawatuna,Thaproban Beach House,Beach Resort,120,"Restaurant, Free WiFi, Beach Access",4.5,1
Mirissa,Sri Sharavi Beach Villas,Luxury Villas,180,"Restaurant, Free WiFi, Pool, Beachfront",4.6,2
Bentota,Centara Ceysands Resort,Beach Resort,150,"Spa, Pool, Free WiFi, Beach Access",4.4,5
Nilaveli,Nilaveli Beach Hotel,Hotel,110,"Swimming Pool, Restaurant, Free WiFi",4.2,10
Tangalle,Anantara Peace Haven Resort,Luxury Resort,200,"Spa, Beachfront, Restaurant, Free WiFi",4.8,3
Passikudah,Uga Bay Resort,Beach Resort,170,"Beach Access, Restaurant, Free WiFi",4.3,1
